Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
3/1/1935,0:00,4.3,4.14,4.009,3.501,3.56,3.11,2.71,2.3,11
4/1/1935,0:00,5.2,4.19,4.049,3.53,3.589,3.13,2.72,1.601,0
5/1/1935,0:00,5.801,4.869,4.741,4.19,4.259,3.77,3.189,2.598,0
6/1/1935,0:00,5.299,4.639,4.531,3.999,4.081,3.638,3.071,2.7,0
7/1/1935,0:00,4.902,4.469,4.37,3.871,3.96,3.54,2.999,1.9,0
8/1/1935,0:00,5.098,4.229,4.18,3.73,3.789,3.399,2.989,2.3,0
9/1/1935,0:00,5.299,4.619,4.541,4.081,4.14,3.74,3.34,2.3,0
10/1/1935,0:00,5.801,4.902,4.79,4.341,4.4,4.009,3.56,2.9,0
11/1/1935,0:00,5.499,4.639,4.482,3.98,4.058,3.629,3.13,1.601,0
12/1/1935,0:00,5.699,4.311,4.15,3.619,3.681,3.219,2.72,1.499,0
1/1/1936,0:00,4.701,3.97,3.829,3.31,3.379,2.93,2.441,0.2,0
2/1/1936,0:00,4.8,4.259,4.16,3.638,3.711,3.261,2.799,1.499,0
3/1/1936,0:00,4.6,4.039,3.901,3.442,3.481,3.051,2.612,1.201,0
4/1/1936,0:00,5,4.19,3.999,3.51,3.56,3.11,2.69,1.9,0
5/1/1936,0:00,6.699,4.951,4.82,4.341,4.409,3.999,3.54,2.5,0
6/1/1936,0:00,5.098,4.8,4.659,4.14,4.219,3.78,3.209,2.5,0
7/1/1936,0:00,5.098,4.459,4.341,3.809,3.891,3.442,2.881,2.1,0
8/1/1936,0:00,5.098,4.6,4.541,4.049,4.131,3.72,3.281,2.3,0
9/1/1936,0:00,5.2,4.711,4.639,4.17,4.229,3.819,3.451,2.7,0
10/1/1936,0:00,5.2,4.649,4.541,4.072,4.131,3.72,3.281,2.7,0
11/1/1936,0:00,5,4.199,4.091,3.589,3.661,3.219,2.73,1.201,0
12/1/1936,0:00,4.8,4.19,4.039,3.51,3.579,3.12,2.569,1.201,0
1/1/1937,0:00,5,4.531,4.419,3.95,4.009,3.599,3.189,2.1,0
2/1/1937,0:00,5.6,4.619,4.482,3.99,4.058,3.629,3.199,1.9,0
3/1/1937,0:00,5.699,4.6,4.469,3.97,4.039,3.599,3.189,2.201,0
4/1/1937,0:00,5.098,4.4,4.281,3.78,3.829,3.379,2.94,2.001,0
5/1/1937,0:00,5,4.439,4.301,3.848,3.901,3.501,3.031,2.201,0
6/1/1937,0:00,5.098,4.501,4.37,3.881,3.94,3.52,3.031,2.402,0
7/1/1937,0:00,5.2,4.531,4.439,3.96,4.039,3.629,3.11,2.402,0
8/1/1937,0:00,4.902,4.491,4.429,3.94,4.009,3.589,3.12,2.402,0
9/1/1937,0:00,5.801,4.721,4.649,4.209,4.259,3.881,3.52,2.799,0
10/1/1937,0:00,6.299,4.82,4.678,4.219,4.281,3.871,3.53,2.1,0
11/1/1937,0:00,5.4,4.491,4.311,3.809,3.862,3.419,2.959,1.299,0
12/1/1937,0:00,5.4,4.249,4.072,3.53,3.609,3.15,2.641,1.201,0
1/1/1938,0:00,4.902,3.95,3.77,3.219,3.291,2.808,2.359,-0.899,0
2/1/1938,0:00,5.299,4.039,3.94,3.442,3.501,3.061,2.671,1.201,0
3/1/1938,0:00,5.098,4.551,4.429,3.98,4.019,3.619,3.32,2.5,0
4/1/1938,0:00,5.299,4.541,4.38,3.881,3.921,3.471,3.018,0,0
5/1/1938,0:00,6.499,4.849,4.669,4.17,4.209,3.75,3.232,2.402,0
6/1/1938,0:00,4.8,4.39,4.249,3.73,3.799,3.35,2.831,1.9,0
7/1/1938,0:00,4.6,4.17,4.081,3.579,3.638,3.199,2.74,2.3,0
8/1/1938,0:00,5.899,4.78,4.711,4.239,4.311,3.911,3.428,2.799,0
9/1/1938,0:00,6.001,4.8,4.731,4.301,4.35,3.97,3.579,3.199,0
10/1/1938,0:00,6.699,4.911,4.839,4.419,4.482,4.111,3.74,2.799,0
11/1/1938,0:00,6.299,4.629,4.419,3.93,3.96,3.51,3.091,1.201,0
12/1/1938,0:00,5.299,4.341,4.17,3.671,3.72,3.281,2.831,1.699,0
1/1/1939,0:00,5.098,4.14,3.97,3.451,3.51,3.051,2.569,0.801,0
2/1/1939,0:00,5.2,4.39,4.229,3.701,3.78,3.32,2.89,1.499,0
3/1/1939,0:00,5,4.4,4.268,3.789,3.839,3.409,3.031,2.201,0
4/1/1939,0:00,5.4,4.469,4.341,3.839,3.891,3.442,3.11,2.001,0
5/1/1939,0:00,5.299,4.531,4.39,3.911,3.95,3.51,3.071,2.402,0
6/1/1939,0:00,5.699,4.629,4.511,3.99,4.058,3.609,3.1,2.5,0
7/1/1939,0:00,5.499,4.199,4.072,3.55,3.619,3.159,2.69,1.699,0
8/1/1939,0:00,4.501,4.019,3.97,3.471,3.54,3.1,2.72,2.3,0
9/1/1939,0:00,5.098,4.491,4.4,3.96,3.999,3.609,3.291,2.402,0
10/1/1939,0:00,5.299,4.849,4.76,4.311,4.36,3.96,3.56,2.001,0
11/1/1939,0:00,5.699,4.629,4.501,4.029,4.091,3.681,3.261,2.201,0
12/1/1939,0:00,5.098,4.009,3.829,3.301,3.36,2.89,2.411,1.299,0
1/1/1940,0:00,5.801,3.75,3.55,2.949,3.031,2.51,2.09,0.499,0
2/1/1940,0:00,5.6,3.691,3.491,2.89,2.959,2.441,2.001,0.4,0
3/1/1940,0:00,4.8,3.94,3.819,3.32,3.36,2.9,2.49,0.899,0
